what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1488270198527
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1488270198722
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1488270199044
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270200739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270201627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270204703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270206904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270207703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270208282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270211721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270212502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270216112
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270216990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270253375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270254453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270258940
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270272502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270275981
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1488270277451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270278172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270283527
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270284740
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1488270349643
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270351625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270354766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488270358540
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1488270359162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270530357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270531976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270533893
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1488270534279
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1488270534694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270534811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270537384
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488270540581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270541059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270541422
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488270543842
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488270543842
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1488270543864
